feature_name,fscore
appCategory_lv2_7,4117.27617983
installed,1664.05759913
appID_6,1417.08618586
sitesetID_1,1066.39499705
age,914.334979955
positionType_5,755.905951023
connectionType_1,621.784226362
advertiserID_0,459.61846715
ratio_buy_user_slide_0,417.601418643
ratio_buy_user_slide_1,324.10536698
appCategory_lv2_3,310.163162595
ratio_buy_user_slide_6,285.798351976
ratio_click_user_slide_0,282.240560248
gender_1,278.577726875
appCategory_lv1_4,273.555221274
sitesetID_0,259.216551528
ratio_click_user_slide_6,244.755660901
ratio_click_user_slide_1,239.575291473
ratio_buy_user_slide_2,235.919697994
camgaignID_3,207.106834246
ratio_buy_user_slide_7,203.006800269
camgaignID_4,194.705812526
ratio_click_user_slide_10,188.333611597
ratio_buy_user_slide_10,184.506290745
ratio_click_user_slide_8,172.496966104
ratio_click_user_slide_2,164.047003308
ratio_click_user_slide_7,159.547545721
appID_3,159.206033974
adID_5,158.783045166
ratio_click_user_slide_9,150.989381487
ratio_buy_user_slide_8,149.707022308
appID_7,136.807680839
ratio_buy_user_slide_3,132.430172002
adID_10,117.033879087
ratio_buy_user_slide_4,115.280969714
ratio_click_user_slide_5,109.923391307
ratio_click_user_slide_3,109.879819943
appID_1,109.012105244
adID_4,107.692894957
adID_11,107.465116272
ratio_buy_user_slide_9,101.253558866
appID_5,91.2911827612
positionType_1,82.9100616875
camgaignID_8,82.1479714167
advertiserID_1,80.9442134013
residence_4,78.9475513894
adID_7,78.4706187667
camgaignID_1,78.1353532855
camgaignID_0,76.549788572
adID_6,74.3445106341
adID_9,73.562348535
residence_2,73.5343695025
education_1,72.448564763
appCategory_lv2_2,71.8458949699
appID_0,71.7136605924
ratio_buy_user_slide_5,71.6474412065
home_town_1,71.5477026699
camgaignID_2,71.5235303915
marriageStatus_0,70.3264463721
home_town_2,69.7145831688
appCategory_lv2_1,69.4257111467
adID_8,69.1432794808
appCategory_lv1_2,66.3250837714
residence_6,65.2758602185
appCategory_lv2_0,64.8682693653
adID_0,64.6825785229
residence_8,64.5129241939
home_town_0,63.6678637855
telecomsOperator_2,62.7173572179
residence_1,62.5742949573
residence_3,62.4257718121
residence_5,62.1568369173
home_town_5,61.5557599938
telecomsOperator_1,59.0191871456
gender_2,58.8366629471
education_2,58.8248932582
marriageStatus_1,57.9076250383
home_town_6,57.2475263202
residence_7,56.8917827675
home_town_7,56.6014623588
advertiserID_2,56.1608875037
education_3,55.1315366752
home_town_3,54.4917297941
home_town_9,53.9983817598
home_town_8,53.2558821565
residence_9,50.8531440319
residence_0,50.3970916375
home_town_4,50.2711193314
ratio_click_user_slide_4,50.1646396354
adID_3,42.7448112939
camgaignID_7,41.7370369098
camgaignID_5,40.7484817631
home_town_10,40.6428299663
advertiserID_6,40.2227007276
education_5,37.9491376877
advertiserID_3,37.797655093
appID_8,37.1866167149
telecomsOperator_3,36.0274916951
adID_2,35.6517171278
adID_1,35.2102435599
camgaignID_6,34.7827955012
appID_4,34.6711741437
residence_10,34.5667525256
education_4,34.1040129729
haveBaby_0,33.8953255305
residence_11,33.0814177314
camgaignID_9,32.0554269636
home_town_11,31.4380691452
telecomsOperator_0,29.6299148063
marriageStatus_2,29.6169438719
positionType_0,27.5725453987
appCategory_lv1_0,24.8501827962
advertiserID_5,22.3148007441
haveBaby_4,18.9318260715
haveBaby_1,18.2626284338
marriageStatus_3,15.8992587207
appCategory_lv2_4,15.4892259951
advertiserID_4,15.1395432801
appID_2,13.9934193134
education_0,13.039850158
appCategory_lv1_5,11.7461407909
appPlatform_2,10.6864589168
haveBaby_2,10.2092801122
appPlatform_1,8.81458283784
connectionType_2,7.25848506272
haveBaby_3,7.06579463962
education_7,6.63700118169
positionType_3,6.46198348377
positionType_2,6.27272679285
connectionType_3,6.02442119494
appCategory_lv1_1,5.75112930324
gender_0,5.68196680344
haveBaby_5,5.56073045134
sitesetID_2,4.00644135027
appCategory_lv1_3,3.91755051253
education_6,3.73891768434
appCategory_lv2_9,3.39689000193
haveBaby_6,1.36497620146
connectionType_4,1.04565982593
connectionType_0,0.612132047124
appID_9,0.0
appID_18,0.0
appID_17,0.0
appID_16,0.0
positionType_4,0.0
appID_15,0.0
appID_13,0.0
appCategory_lv2_8,0.0
appCategory_lv2_10,0.0
appCategory_lv2_11,0.0
appID_12,0.0
appCategory_lv2_5,0.0
appCategory_lv2_6,0.0
appID_11,0.0
appID_10,0.0
appID_14,0.0
